split,global_index,inchi_key,smiles,formula,target_value
train,675,FIHLAVXAWPKTGD-UHFFFAOYSA-N,N#CC1=CC=C(C2=C(C3=CC=C(C#N)C3)C(=O)c3nc(C#N)cnc3C2=O)C1,,1.8
train,1635,KJIUCYLIQPPCQJ-UHFFFAOYSA-N,COc1nc2c(nc1OC)C(=O)C(c1ccc([N+](=O)[O-])cn1)=CC2=O,,2.33
train,948,HEIDMGYQRBKRJO-UHFFFAOYSA-N,N#Cc1ccc2c(n1)C(=O)C=C(c1ccc(OC(F)(F)F)[nH]1)C2=O,,1.57
train,4933,WZXCMUFOAYQGOH-VAVLHINXSA-N,FC(F)(F)N=Cc1ccc(N=Nc2ccc(C=NC(F)(F)F)s2)s1,,1.87
train,4534,NCGSINXYGXNQDP-UHFFFAOYSA-N,Cn1c(O)ccc1-c1ccc2c(c1)C(=O)c1cc(-c3ccc(O)n3C)ccc1C2=O,,0.8
train,1218,ILZDUDSACREUOD-UHFFFAOYSA-N,N#Cc1cc2c(nc1C#N)C(=O)C(n1cc(F)c3ccccc31)=C(n1cc(F)c3ccccc31)C2=O,,1.35
train,2776,RVFHDSJRUGKXRP-ZPUQHVIOSA-N,N#Cc1cc2c(nc1C#N)C(=O)C(C=COC(F)(F)F)=C(C=COC(F)(F)F)C2=O,,2.08
train,2516,PEUNZMIURZLNFU-UHFFFAOYSA-N,COc1ccnc2c1C(=O)C(C1=CC=C(C)S1(=O)=O)=CC2=O,,2.21
train,5143,UXHKNSBWQMNZNZ-UHFFFAOYSA,C=NON1c2ccccc2N(c2cc([N+](=O)[O-])n(C=O)c2)c2ccccc21,,0.56
train,943,HEANDKJZKSNBDQ-UHFFFAOYSA-N,Cc1cn(C2=C(n3cc(C)c4ccccc43)C(=O)c3c(ncc(C#N)c3C#N)C2=O)c2ccccc12,,1.32
train,1844,LZFYJLSTOLLMNQ-UHFFFAOYSA-N,N#Cc1nc2c(nc1C#N)C(=O)C(c1ccc(C(F)(F)F)cn1)=CC2=O,,3.05
train,5129,QKZUGZSGKTVRNE-UHFFFAOYSA,FN1c2ccccc2N(c2nnc(C(F)(F)F)nn2)c2ccccc21,,1.28
train,3998,CAHFMHPGCFETPL-UHFFFAOYSA-N,Clc1c[nH]c(C2(Cl)N=N2)c1,,1.67
train,2621,QOZOSGKMTLIHKR-UHFFFAOYSA-N,COc1cnc2c(c1)C(=O)C(c1ccc(OC)s1)=CC2=O,,1.42
train,557,DTIYCHAIPUSTAI-UHFFFAOYSA-N,N#Cc1cnc2c(n1)C(=O)C(c1ncc(OC(F)(F)F)s1)=C(c1ncc(OC(F)(F)F)s1)C2=O,,2.0
train,1542,JZLDXHIRMNADCK-UHFFFAOYSA-N,C#CC1=C(C#C)C(=O)c2nc(C#N)cnc2C1=O,,2.86
train,2534,PGJNBSARWIMDEK-UHFFFAOYSA-N,N#Cc1ccc2c(n1)C(=O)C(C1=CC=CS1(=O)=O)=C(C1=CC=CS1(=O)=O)C2=O,,2.43
train,2748,RRIBLEYPPHFZQM-UHFFFAOYSA-N,N#Cc1cnc2c(n1)C(=O)C(c1ccc(O)o1)=CC2=O,,1.56
train,1715,LJADRPXMOIJPBN-UHFFFAOYSA-N,COc1nc2c(nc1OC)C(=O)C(C#CC(F)(F)F)=CC2=O,,2.44
train,78,AKAXHCGDPUBKKC-UHFFFAOYSA-N,COc1nnc(C2=CC(=O)c3nc(C#N)c(C#N)nc3C2=O)nn1,,2.33
train,2103,NFKHMEOOBPFLPH-UHFFFAOYSA-N,N#Cc1ccnc2c1C(=O)C(c1ccc(C(F)(F)F)o1)=C(c1ccc(C(F)(F)F)o1)C2=O,,1.92
train,4270,IGSCKDVLOLMCKO-UHFFFAOYSA-N,N#Cc1cc(-c2cc(O)c[nH]2)c(C#N)c(-c2cc(O)c[nH]2)c1,,-1.2
train,5127,PRTUSMAWEISGLW-OUKQBFOZSA,CO[C]1=NC=C[C](N=1)n1c2ccccc2n(c2c1cccc2)/C=C/N(=O)=O,,1.24
train,2958,UJJOEVVYKFASDW-UHFFFAOYSA-N,N#Cc1ccnc2c1C(=O)C(C1=CC=C([N+](=O)[O-])S1(=O)=O)=CC2=O,,3.18
train,3193,VZAGOVLOJHSOMB-UHFFFAOYSA-N,N#Cc1nc(C2=C(c3c[nH]c(C#N)n3)C(=O)c3nccnc3C2=O)c[nH]1,,2.01
train,1151,IDOCESJIOOENSA-UHFFFAOYSA-N,N#Cc1ccnc2c1C(=O)C(C#CC(F)(F)F)=C(C#CC(F)(F)F)C2=O,,3.4
train,1292,IVFVEGABCTWXCE-UHFFFAOYSA-N,N#Cc1cc(C#N)c2c(n1)C(=O)C(c1cnc([N+](=O)[O-])[nH]1)=C(c1cnc([N+](=O)[O-])[nH]1)C2=O,,2.28
train,3265,WIFMSVUIFODGSN-UHFFFAOYSA-N,Cc1coc(C2=C(c3nc(C)co3)C(=O)c3c(C#N)ccnc3C2=O)n1,,1.91
train,4872,VPVLDOKSDQTZFP-UHFFFAOYSA-N,CC1=CC=C(c2ccc3c(c2)C(=O)c2cc(C4=CC=C(C)C4)ccc2C3=O)C1,,1.18
